Longitude (x),Latitude (y),Station Name,Date/Time,Year,Month,Day,Max Temp (°C),Min Temp (°C),Mean Temp (°C),Heat Deg Days (°C)
-123.26,49.33,POINT ATKINSON,1/1/2023,2023,1,1,7.4,4.2,5.8,12.2
-123.26,49.33,POINT ATKINSON,1/2/2023,2023,1,2,5.5,2.9,4.2,13.8
-123.26,49.33,POINT ATKINSON,1/3/2023,2023,1,3,7.3,3.3,5.3,12.7
-123.26,49.33,POINT ATKINSON,1/4/2023,2023,1,4,8.1,4.9,6.5,11.5
-123.26,49.33,POINT ATKINSON,1/5/2023,2023,1,5,14,5.8,9.9,8.1
-123.26,49.33,POINT ATKINSON,1/6/2023,2023,1,6,12.5,6.8,9.7,8.3
-123.26,49.33,POINT ATKINSON,1/7/2023,2023,1,7,10.7,6.6,8.6,9.4
-123.26,49.33,POINT ATKINSON,1/8/2023,2023,1,8,9.9,5.8,7.9,10.1
-123.26,49.33,POINT ATKINSON,1/9/2023,2023,1,9,11.7,6.7,9.2,8.8
-123.26,49.33,POINT ATKINSON,1/10/2023,2023,1,10,9.6,6.2,7.9,10.1
-123.26,49.33,POINT ATKINSON,1/11/2023,2023,1,11,12.1,4.9,8.5,9.5
-123.26,49.33,POINT ATKINSON,1/12/2023,2023,1,12,12.9,6.9,9.9,8.1
-123.26,49.33,POINT ATKINSON,1/13/2023,2023,1,13,12,8.2,10.1,7.9
-123.26,49.33,POINT ATKINSON,1/14/2023,2023,1,14,11.1,7.4,9.3,8.7
-123.26,49.33,POINT ATKINSON,1/15/2023,2023,1,15,9,6.8,7.9,10.1
-123.26,49.33,POINT ATKINSON,1/16/2023,2023,1,16,7.9,6,7,11
-123.26,49.33,POINT ATKINSON,1/17/2023,2023,1,17,7.8,6,6.9,11.1
-123.26,49.33,POINT ATKINSON,1/18/2023,2023,1,18,9.9,4.7,7.3,10.7
-123.26,49.33,POINT ATKINSON,1/19/2023,2023,1,19,7.1,2.6,4.9,13.1
-123.26,49.33,POINT ATKINSON,1/20/2023,2023,1,20,8.4,3.7,6.1,11.9
-123.26,49.33,POINT ATKINSON,1/21/2023,2023,1,21,5.9,3.1,4.5,13.5
-123.26,49.33,POINT ATKINSON,1/22/2023,2023,1,22,5.6,2.8,4.2,13.8
-123.26,49.33,POINT ATKINSON,1/23/2023,2023,1,23,6.9,4.1,5.5,12.5
-123.26,49.33,POINT ATKINSON,1/24/2023,2023,1,24,6.4,5.2,5.8,12.2
-123.26,49.33,POINT ATKINSON,1/25/2023,2023,1,25,7.1,5.3,6.2,11.8
-123.26,49.33,POINT ATKINSON,1/26/2023,2023,1,26,6.1,5,5.5,12.5
-123.26,49.33,POINT ATKINSON,1/27/2023,2023,1,27,8,5.1,6.5,11.5
-123.26,49.33,POINT ATKINSON,1/28/2023,2023,1,28,8.3,3.1,5.7,12.3
-123.26,49.33,POINT ATKINSON,1/29/2023,2023,1,29,3.9,-0.5,1.7,16.3
-123.26,49.33,POINT ATKINSON,1/30/2023,2023,1,30,2.2,-1.7,0.2,17.8
-123.26,49.33,POINT ATKINSON,1/31/2023,2023,1,31,2.3,-1,0.7,17.3
-123.26,49.33,POINT ATKINSON,2/1/2023,2023,2,1,,,,
-123.26,49.33,POINT ATKINSON,2/2/2023,2023,2,2,,,,
-123.26,49.33,POINT ATKINSON,2/3/2023,2023,2,3,9.7,5.4,7.6,10.4
-123.26,49.33,POINT ATKINSON,2/4/2023,2023,2,4,10.5,7.3,8.9,9.1
-123.26,49.33,POINT ATKINSON,2/5/2023,2023,2,5,8.5,6,7.2,10.8
-123.26,49.33,POINT ATKINSON,2/6/2023,2023,2,6,8.5,5.9,7.2,10.8
-123.26,49.33,POINT ATKINSON,2/7/2023,2023,2,7,10.1,7,8.5,9.5
-123.26,49.33,POINT ATKINSON,2/8/2023,2023,2,8,7.1,3.3,5.2,12.8
-123.26,49.33,POINT ATKINSON,2/9/2023,2023,2,9,10.8,4.6,7.7,10.3
